epoch,loss
0,0.6923845599029577
1,0.6919459965567496
2,0.6905967981200076
3,0.687054484262448
4,0.6798181743989243
5,0.6679236118084052
6,0.6517308881345137
7,0.6335349202885808
8,0.6159503265203637
9,0.6006795942051922
10,0.5881867613306395
11,0.5780288328690572
12,0.5695383386027832
13,0.5625043550439475
14,0.5565035381846976
15,0.5512496694045447
16,0.5466953988600582
17,0.542638994055707
18,0.5389529393425478
19,0.5356278929780879
20,0.5326989036091668
21,0.530085767979565
22,0.5275489249079325
23,0.5251441386638183
24,0.5232102326092818
25,0.5210816258816187
26,0.5192282831505491
27,0.5175451866272758
28,0.5158052875271975
29,0.5143305886090482
30,0.5128349457517233
31,0.5112973456014943
32,0.5102512117943694
33,0.5089845335511406
34,0.5077375061389354
35,0.5064468447577665
36,0.5052454369902036
37,0.5041830236116066
38,0.5031319758025561
39,0.5020783632474338
40,0.5010577077347805
41,0.49987818782251847
42,0.499158531009518
43,0.49835261189117863
44,0.4973850461218967
45,0.4967027424327985
46,0.4957642382664422
47,0.49477081730699357
48,0.4939571023366115
49,0.49327204109714023
50,0.4924834304726706
51,0.4916281697446361
52,0.49096251733666074
53,0.49024865184613264
54,0.48967436301148326
55,0.4887432127886133
56,0.48828836176893287
57,0.487383345668778
58,0.4868919654962528
59,0.48644823492845396
60,0.4857061823611709
61,0.48500205551527503
62,0.48447012888787117
63,0.4836039000876712
64,0.4830580795778109
65,0.4825384497691525
66,0.48207560977023217
67,0.48133956230993236
68,0.4807312724711357
69,0.48028889201370883
70,0.4798031258324105
71,0.4792287132177913
72,0.47869829265743735
73,0.4781044911635491
74,0.477665605480801
75,0.47716621364385275
76,0.4769070962331039
77,0.4763236876977898
78,0.47585922968300726
79,0.4754354561486352
80,0.47486349127186944
81,0.4743699634747187
82,0.4740854952323817
83,0.4734551314086588
84,0.472963105117732
85,0.47267642039941393
86,0.47220901701195833
87,0.4718086040615178
88,0.47143739435681603
89,0.4709782289569833
90,0.4704097192566203
91,0.4701082919547916
92,0.46989764714075777
93,0.46930899675760507
94,0.468909565107537
95,0.4684797742418132
96,0.4681567193410932
97,0.46774922931475993
98,0.46748212810906664
99,0.46721107585301547
